group,metric,episode,mean,std,min,max,seed_count
learned+queue,travel_time,0,1584.6469833333333,3.1241810168011352,1581.9162333333334,1589.02035,3
learned+queue,travel_time,1,1582.2228095238097,3.850825350834623,1578.582457142857,1587.5507142857143,3
learned+queue,travel_time,2,1580.1273541666667,3.970841189669545,1576.7223,1585.697125,3
learned+queue,travel_time,3,1578.4325333333334,4.085910241969555,1575.2894111111111,1584.203211111111,3
learned+queue,travel_time,4,1576.563423333333,3.817037338882306,1572.5907,1581.7148699999998,3
learned+queue,travel_time,5,1574.1002787878786,3.858475920025633,1569.7873454545452,1579.1516909090906,3
learned+queue,travel_time,6,1570.1373060606059,5.534869196073907,1563.3801454545455,1576.9375454545452,3
learned+queue,travel_time,7,1565.7271212121211,4.757658746670568,1559.6829090909089,1571.3092272727272,3
learned+queue,travel_time,8,1562.479487878788,4.764607494269845,1556.3623454545457,1567.9850272727272,3
learned+queue,travel_time,9,1557.941209090909,5.498283476578531,1550.8837636363635,1564.2967727272728,3
learned+queue,travel_time,10,1553.0708575757574,7.519073419742473,1542.9730000000002,1561.0059,3
learned+queue,travel_time,11,1547.6650696969698,8.82192319515912,1535.576009090909,1556.379890909091,3
learned+queue,travel_time,12,1542.5123272727271,9.937377659481621,1528.6879999999999,1551.6138272727273,3
learned+queue,travel_time,13,1536.5238272727274,10.559604796530017,1521.8771636363635,1546.3699181818183,3
learned+queue,travel_time,14,1529.800596969697,10.820193750800575,1514.955581818182,1540.4377636363636,3
learned+queue,travel_time,15,1522.2912787878788,11.273242624657719,1507.3089545454545,1534.5022363636365,3
learned+queue,travel_time,16,1515.5706636363636,12.234587564960398,1499.5108818181818,1529.1764181818182,3
learned+queue,travel_time,17,1508.8239606060606,11.96470783039386,1493.9379272727272,1523.2337454545457,3
learned+queue,travel_time,18,1501.2654757575758,12.40638584503062,1485.6865727272727,1516.0442727272728,3
learned+queue,travel_time,19,1493.070581818182,14.181082367906372,1475.4011272727273,1510.120990909091,3
learned+queue,travel_time,20,1485.005027272727,15.411407807221794,1465.8691818181817,1503.6079818181818,3
learned+queue,travel_time,21,1478.0321636363635,15.819170680827504,1458.7668727272724,1497.5139545454547,3
learned+queue,travel_time,22,1471.3721242424242,17.61340504757814,1450.3240545454544,1493.432281818182,3
learned+queue,travel_time,23,1464.570593939394,19.221256906463385,1441.8058454545453,1488.8180272727275,3
learned+queue,travel_time,24,1459.4644454545453,20.644445551431293,1435.2971999999997,1485.7342545454546,3
learned+queue,travel_time,25,1453.4906696969695,22.251715199987213,1427.2539,1481.6567181818182,3
learned+queue,travel_time,26,1447.9634272727271,24.109231233505444,1419.3676818181818,1478.342190909091,3
learned+queue,travel_time,27,1443.686296969697,25.945353906804236,1413.7814454545457,1477.0511363636363,3
learned+queue,travel_time,28,1438.0627666666667,27.666832439607777,1405.586454545455,1473.1992636363636,3
learned+queue,travel_time,29,1432.1649636363636,29.814483700423295,1397.1556727272728,1470.0194818181817,3
learned+queue,travel_time,30,1427.2473575757576,30.533857594518413,1391.410481818182,1466.0287636363637,3
learned+queue,travel_time,31,1423.0262393939392,30.635967546748436,1386.9543636363635,1461.845790909091,3
learned+queue,travel_time,32,1417.473690909091,32.01472738565828,1379.5612454545453,1457.863509090909,3
learned+queue,travel_time,33,1411.8898545454547,32.3850967386308,1373.4355636363634,1452.6609636363637,3
learned+queue,travel_time,34,1406.3174424242425,32.444034314855934,1367.388018181818,1446.8130363636365,3
learned+queue,travel_time,35,1400.2066121212122,32.96876636851083,1360.1876181818182,1440.9349272727272,3
learned+queue,travel_time,36,1395.3137424242425,33.24937564733251,1354.3977181818182,1435.838909090909,3
learned+queue,travel_time,37,1390.7222000000002,32.276085916664165,1350.6203,1429.6542727272727,3
learned+queue,travel_time,38,1385.3434454545456,31.948744258648333,1344.189881818182,1422.0717454545454,3
learned+queue,travel_time,39,1380.8064666666667,32.40923628349581,1339.0711454545456,1418.0802272727271,3
learned+queue,travel_time,40,1376.5294606060606,32.87959353567843,1334.1765545454543,1414.3274363636363,3
learned+queue,travel_time,41,1372.4927484848486,33.037521199576666,1329.6160272727273,1410.0061454545457,3
learned+queue,travel_time,42,1367.5675303030303,32.85798246433725,1324.7536909090907,1404.6174,3
learned+queue,travel_time,43,1363.690612121212,31.579439691763962,1322.956518181818,1399.9145727272728,3
learned+queue,travel_time,44,1361.5819151515152,30.214096481167495,1322.7108727272728,1396.3836000000001,3
learned+queue,travel_time,45,1357.8931242424242,29.28717543439134,1320.6142818181818,1392.1634090909092,3
learned+queue,travel_time,46,1354.5450121212123,29.283039774735197,1316.9006181818183,1388.3144272727275,3
learned+queue,travel_time,47,1351.160212121212,29.25062323968862,1313.383109090909,1384.6455545454546,3
learned+queue,travel_time,48,1348.1647545454543,29.487787127774485,1309.229581818182,1380.5680909090909,3
learned+queue,travel_time,49,1344.6692393939393,28.676801438382878,1306.5889454545454,1375.7906454545455,3
learned+queue,travel_time,50,1341.8362090909093,27.593948887602686,1305.0517454545454,1371.5119000000002,3
learned+queue,travel_time,51,1339.5518606060607,26.08232376428592,1304.5301,1367.0896363636364,3
learned+queue,travel_time,52,1335.908290909091,25.10168861527839,1302.5487272727273,1363.099818181818,3
learned+queue,travel_time,53,1334.2530848484848,23.973577174387774,1302.217,1359.8818272727274,3
learned+queue,travel_time,54,1330.816509090909,23.236421433166694,1299.3029272727272,1354.6397454545456,3
learned+queue,travel_time,55,1327.025581818182,24.362510439687124,1293.5448,1350.806981818182,3
learned+queue,travel_time,56,1324.5408363636366,24.416809694022483,1291.0074272727272,1348.4422272727275,3
learned+queue,travel_time,57,1321.2256939393938,22.092137824683522,1290.7052727272726,1342.2713818181817,3
learned+queue,travel_time,58,1318.3591181818183,20.81287513129964,1289.4423181818183,1337.5743727272727,3
learned+queue,travel_time,59,1315.0506303030304,20.34509992797118,1286.9459727272729,1334.4397,3
learned+queue,travel_time,60,1312.2077151515152,21.111141469762504,1283.3535636363638,1333.275490909091,3
learned+queue,travel_time,61,1308.4881454545457,21.085064378880634,1279.8554000000001,1330.0152272727273,3
learned+queue,travel_time,62,1305.7216515151515,21.40655023212423,1276.6527272727274,1327.5779181818182,3
