group,metric,episodes,seed_count_min,seed_count_max,first_mean,last_mean,best_mean,best_episode,mean_of_mean,last_std
learned+queue,travel_time,250,3,3,1584.6469833333333,1262.530688888889,1239.215512121212,200,1314.2684852096008,37.55268273323761
learned+queue,loss,250,3,3,0.003308277777777778,5.655555555555555e-05,5.0363636363636366e-05,184,0.000356619057046657,2.436616253215122e-05
learned+queue,reward,250,3,3,-344.7933777777778,-256.0918833333333,-246.024003030303,200,-270.5876891870371,16.693106220882527
learned+queue,queue,250,3,3,21.129394444444447,15.678316666666667,15.058236363636363,200,16.565891597748916,1.0250466268527603
learned+queue,delay,250,3,3,0.11630555555555555,0.08691666666666666,0.08691666666666666,249,0.09484920711399711,0.002347851657879483
learned+queue,throughput,250,3,3,7674.333333333333,9465.555555555557,9705.727272727274,201,9245.638004569504,148.9706864859619
learned+queuePress0.2/0,travel_time,250,3,3,1585.9725666666666,1251.7598444444445,1235.7806272727273,192,1304.2568118065751,13.458020628939124
learned+queuePress0.2/0,loss,250,3,3,0.004065222222222223,0.00012194444444444445,7.657575757575757e-05,238,0.00045507456132756134,2.8779600971847502e-05
learned+queuePress0.2/0,reward,250,3,3,-384.3625666666667,-285.03756111111113,-267.47345454545456,190,-296.3697862810005,5.872531501678794
learned+queuePress0.2/0,queue,250,3,3,21.208538888888892,15.630633333333334,14.593769696969696,190,16.23413017875421,0.3263444689395046
learned+queuePress0.2/0,delay,250,3,3,0.11622222222222223,0.08697777777777778,0.08652424242424243,165,0.09489506356902357,0.00029323651600881206
learned+queuePress0.2/0,throughput,250,3,3,7663.88888888889,9674.166666666666,9674.333333333334,248,9310.753687157287,128.95398260476358
